review_id,clean_text,metadata_json
a58cd52a47a6e6c51628,overall grt,"{""review_id"": ""a58cd52a47a6e6c51628"", ""source"": ""play_store""}"
8dde734600d0d4f54c4e,delayed delivery for myntra delivery partner.,"{""review_id"": ""8dde734600d0d4f54c4e"", ""source"": ""play_store""}"
f2c22421f59cff16a8e1,it is a very good app for shopping you can buy anything and you will get it correctly,"{""review_id"": ""f2c22421f59cff16a8e1"", ""source"": ""play_store""}"
b206dee91bfca07f38fd,i bad experience,"{""review_id"": ""b206dee91bfca07f38fd"", ""source"": ""play_store""}"
10032421c22f16a6e102,"Myntra remains one of the premier destinations for online fashion, beauty, and lifestyle shopping in India. Whether you are looking for everyday casuals, premium ethnic wear, luxury international labels, or beauty essentials, the app offers a polished, comprehensive shopping experience. Key Features & User Experience Sleek & Intuitive Interface Vast Product Catalog Myntra Studio & Trends Virtual Try-On & Fit Assistants Express Delivery (M-Express)","{""review_id"": ""10032421c22f16a6e102"", ""source"": ""play_store""}"
962893cd487e11e80985,great experience,"{""review_id"": ""962893cd487e11e80985"", ""source"": ""play_store""}"
161fa26499a71d9ffe8f,experience was so good 👍,"{""review_id"": ""161fa26499a71d9ffe8f"", ""source"": ""play_store""}"
642db177715556519404,really tha app was very useful,"{""review_id"": ""642db177715556519404"", ""source"": ""play_store""}"
c2edb2e1ea95b91dacb4,Best with quality...variety..and amazing discount on brands in love myntra,"{""review_id"": ""c2edb2e1ea95b91dacb4"", ""source"": ""play_store""}"
9d8faadf939f26ad39ac,it was a nice experience choosing you every product is of bestest quality,"{""review_id"": ""9d8faadf939f26ad39ac"", ""source"": ""play_store""}"
c85df6ee09ac4e19eac5,I am using this Myntra app for more than 12 years . I am a regular customer to this. Still I am giving a 1 rating today as there is no number less than this . I have ordered 7 kurtis but found that the size is small as per my requirement. So I requested for an exchange. Unfortunately the sales boy refused to exchange and told me they are not matching tags . How is it possible. I am not a new customer. I know the policy of exchange. The available tags are attached.Very unprofessional approach.,"{""review_id"": ""c85df6ee09ac4e19eac5"", ""source"": ""play_store""}"
ff3653a03a0cf03d7024,you r just amazing 😍🤩,"{""review_id"": ""ff3653a03a0cf03d7024"", ""source"": ""play_store""}"
